Row ID,Order ID,Order Date,Customer ID,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region Manager
12,CA-2016-115812,6/9/2016,BH-11710,Consumer,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568,Anna Andreadi
13,CA-2019-114412,4/15/2019,AA-10480,Consumer,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432,Cassandra Brandow
14,CA-2018-161389,12/5/2018,IM-15070,Consumer,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922,Anna Andreadi
15,US-2017-118983,11/22/2017,HP-14815,Home Office,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858,Kelly Williams
16,US-2017-118983,11/22/2017,HP-14815,Home Office,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816,Kelly Williams
17,CA-2016-105893,11/11/2016,PK-19075,Consumer,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176,Kelly Williams
18,CA-2016-167164,5/13/2016,AG-10270,Consumer,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99,Anna Andreadi
19,CA-2016-143336,8/27/2016,ZD-21925,Consumer,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824,Anna Andreadi
20,CA-2016-143336,8/27/2016,ZD-21925,Consumer,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011,Anna Andreadi
21,CA-2016-143336,8/27/2016,ZD-21925,Consumer,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384,Anna Andreadi
22,CA-2018-137330,12/9/2018,KB-16585,Corporate,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596,Kelly Williams
23,CA-2018-137330,12/9/2018,KB-16585,Corporate,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884,Kelly Williams
24,US-2019-156909,7/16/2019,SF-20065,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196,Chuck Magee
25,CA-2017-106320,9/25/2017,EB-13870,Consumer,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649,Anna Andreadi
26,CA-2018-121755,1/16/2018,EH-13945,Consumer,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,11.648,2,0.2,4.2224,Anna Andreadi
27,CA-2018-121755,1/16/2018,EH-13945,Consumer,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,90.57,3,0,11.7741,Anna Andreadi
28,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,Chuck Magee
29,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,9.618,2,0.7,-7.0532,Chuck Magee
30,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,124.2,3,0.2,15.525,Chuck Magee
31,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,3.264,2,0.2,1.1016,Chuck Magee
32,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,86.304,6,0.2,9.7092,Chuck Magee
33,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,6.858,6,0.7,-5.715,Chuck Magee
34,US-2017-150630,9/17/2017,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,15.76,2,0.2,3.546,Chuck Magee
35,CA-2019-107727,10/19/2019,MA-17560,Home Office,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,29.472,3,0.2,9.9468,Kelly Williams
36,CA-2018-117590,12/8/2018,GH-14485,Corporate,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,1097.544,7,0.2,123.4737,Kelly Williams
37,CA-2018-117590,12/8/2018,GH-14485,Corporate,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,190.92,5,0.6,-147.963,Kelly Williams
38,CA-2017-117415,12/27/2017,SN-20710,Home Office,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,113.328,9,0.2,35.415,Kelly Williams
39,CA-2017-117415,12/27/2017,SN-20710,Home Office,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,532.3992,3,0.32,-46.9764,Kelly Williams
40,CA-2017-117415,12/27/2017,SN-20710,Home Office,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,212.058,3,0.3,-15.147,Kelly Williams
41,CA-2017-117415,12/27/2017,SN-20710,Home Office,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,371.168,4,0.2,41.7564,Kelly Williams
42,CA-2019-120999,9/10/2019,LC-16930,Corporate,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,147.168,4,0.2,16.5564,Kelly Williams
43,CA-2018-101343,7/17/2018,RA-19885,Corporate,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,77.88,2,0,3.894,Anna Andreadi
44,CA-2019-139619,9/19/2019,ES-14080,Corporate,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,95.616,2,0.2,9.5616,Cassandra Brandow
45,CA-2018-118255,3/11/2018,ON-18715,Corporate,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,45.98,2,0,19.7714,Kelly Williams
46,CA-2018-118255,3/11/2018,ON-18715,Corporate,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,17.46,2,0,8.2062,Kelly Williams
47,CA-2016-146703,10/20/2016,PO-18865,Consumer,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,211.96,4,0,8.4784,Kelly Williams
48,CA-2018-169194,6/20/2018,LH-16900,Consumer,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,45,3,0,4.95,Chuck Magee
49,CA-2018-169194,6/20/2018,LH-16900,Consumer,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,21.8,2,0,6.104,Chuck Magee
50,CA-2017-115742,4/18/2017,DP-13000,Consumer,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,38.22,6,0,17.9634,Kelly Williams
51,CA-2017-115742,4/18/2017,DP-13000,Consumer,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,75.18,6,0,35.3346,Kelly Williams
52,CA-2017-115742,4/18/2017,DP-13000,Consumer,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,6.16,2,0,2.9568,Kelly Williams
53,CA-2017-115742,4/18/2017,DP-13000,Consumer,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,89.99,1,0,17.0981,Kelly Williams
54,CA-2018-105816,12/11/2018,JM-15265,Corporate,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,15.26,7,0,6.2566,Chuck Magee
55,CA-2018-105816,12/11/2018,JM-15265,Corporate,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,1029.95,5,0,298.6855,Chuck Magee
56,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,208.56,6,0,52.14,Chuck Magee
57,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,32.4,5,0,15.552,Chuck Magee
58,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,319.41,5,0.1,7.098,Chuck Magee
59,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,14.56,2,0,6.9888,Chuck Magee
60,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,30,2,0,3.3,Chuck Magee
61,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,48.48,4,0.2,16.362,Chuck Magee
62,CA-2018-111682,6/17/2018,TB-21055,Consumer,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,1.68,1,0,0.84,Chuck Magee
63,CA-2017-135545,11/24/2017,KM-16720,Consumer,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,13.98,2,0,6.1512,Anna Andreadi
64,CA-2017-135545,11/24/2017,KM-16720,Consumer,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,25.824,6,0.2,9.3612,Anna Andreadi
65,CA-2017-135545,11/24/2017,KM-16720,Consumer,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,146.73,3,0,68.9631,Anna Andreadi
66,CA-2017-135545,11/24/2017,KM-16720,Consumer,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,79.76,4,0,22.3328,Anna Andreadi
67,US-2017-164175,4/30/2017,PS-18970,Home Office,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,213.115,5,0.3,-15.2225,Kelly Williams
68,CA-2016-106376,12/5/2016,BS-11590,Corporate,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,1113.024,8,0.2,111.3024,Anna Andreadi
69,CA-2016-106376,12/5/2016,BS-11590,Corporate,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,167.968,4,0.2,62.988,Anna Andreadi
70,CA-2018-119823,6/4/2018,KD-16270,Consumer,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,75.88,2,0,35.6636,Cassandra Brandow
71,CA-2018-106075,9/18/2018,HM-14980,Consumer,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,4.616,1,0.2,1.731,Chuck Magee
72,CA-2019-114440,9/14/2019,TB-21520,Consumer,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,19.05,3,0,8.763,Kelly Williams
73,US-2017-134026,4/26/2017,JE-15745,Consumer,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,831.936,8,0.2,-114.3912,Cassandra Brandow
74,US-2017-134026,4/26/2017,JE-15745,Consumer,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,97.04,2,0.2,1.213,Cassandra Brandow
75,US-2017-134026,4/26/2017,JE-15745,Consumer,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,72.784,1,0.2,-18.196,Cassandra Brandow
76,US-2019-118038,12/9/2019,KB-16600,Corporate,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,1.248,3,0.8,-1.9344,Kelly Williams
77,US-2019-118038,12/9/2019,KB-16600,Corporate,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,9.708,3,0.6,-5.8248,Kelly Williams
78,US-2019-118038,12/9/2019,KB-16600,Corporate,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,27.24,3,0.2,2.724,Kelly Williams
79,US-2016-147606,11/26/2016,JE-15745,Consumer,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,19.3,5,0.6,-14.475,Kelly Williams
80,CA-2018-127208,6/12/2018,SC-20770,Corporate,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,208.16,1,0,56.2032,Cassandra Brandow
81,CA-2018-127208,6/12/2018,SC-20770,Corporate,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,16.74,3,0,8.0352,Cassandra Brandow
82,CA-2016-139451,10/12/2016,DN-13690,Consumer,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,14.9,5,0,4.172,Anna Andreadi
83,CA-2016-139451,10/12/2016,DN-13690,Consumer,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,21.39,1,0,6.2031,Anna Andreadi
84,CA-2017-149734,9/3/2017,JC-16105,Corporate,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,200.984,7,0.2,62.8075,Cassandra Brandow
85,US-2019-119662,11/13/2019,CS-12400,Home Office,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,230.376,3,0.2,-48.9549,Kelly Williams
86,CA-2019-140088,5/28/2019,PO-18865,Consumer,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,301.96,2,0,33.2156,Cassandra Brandow
87,CA-2019-155558,10/26/2019,PG-18895,Consumer,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,19.99,1,0,6.7966,Kelly Williams
88,CA-2019-155558,10/26/2019,PG-18895,Consumer,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,6.16,2,0,2.9568,Kelly Williams
89,CA-2018-159695,4/5/2018,GM-14455,Home Office,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,158.368,7,0.2,13.8572,Kelly Williams
90,CA-2018-109806,9/17/2018,JS-15685,Corporate,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,20.1,3,0,6.633,Anna Andreadi
91,CA-2018-109806,9/17/2018,JS-15685,Corporate,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,73.584,2,0.2,8.2782,Anna Andreadi
92,CA-2018-109806,9/17/2018,JS-15685,Corporate,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,6.48,1,0,3.1104,Anna Andreadi
93,CA-2017-149587,1/31/2017,KB-16315,Consumer,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,12.96,2,0,6.2208,Kelly Williams
94,CA-2017-149587,1/31/2017,KB-16315,Consumer,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,53.34,3,0,16.5354,Kelly Williams
95,CA-2017-149587,1/31/2017,KB-16315,Consumer,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,32.96,2,0,16.1504,Kelly Williams
96,US-2019-109484,11/6/2019,RB-19705,Home Office,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,5.682,1,0.7,-3.788,Anna Andreadi
97,CA-2019-161018,11/9/2019,PN-18775,Home Office,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,96.53,7,0,40.5426,Chuck Magee
98,CA-2019-157833,6/17/2019,KD-16345,Consumer,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,51.312,3,0.2,17.9592,Anna Andreadi
99,CA-2018-149223,9/6/2018,ER-13855,Corporate,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,77.88,6,0,22.5852,Kelly Williams
100,CA-2018-158568,8/29/2018,RB-19465,Home Office,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,64.624,7,0.2,22.6184,Kelly Williams
101,CA-2018-158568,8/29/2018,RB-19465,Home Office,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,95.976,3,0.2,-10.7973,Kelly Williams
102,CA-2018-158568,8/29/2018,RB-19465,Home Office,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,1.788,3,0.8,-3.0396,Kelly Williams
103,CA-2018-129903,12/1/2018,GZ-14470,Consumer,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,23.92,4,0,11.7208,Kelly Williams
104,US-2017-156867,11/13/2017,LC-16870,Consumer,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,238.896,6,0.2,-26.8758,Anna Andreadi
105,US-2017-156867,11/13/2017,LC-16870,Consumer,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,102.36,3,0.2,-3.8385,Anna Andreadi
106,US-2017-156867,11/13/2017,LC-16870,Consumer,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,36.882,3,0.7,-25.8174,Anna Andreadi
107,CA-2019-119004,11/23/2019,JM-15250,Consumer,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,74.112,8,0.2,17.6016,Cassandra Brandow
108,CA-2019-119004,11/23/2019,JM-15250,Consumer,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,27.992,1,0.2,2.0994,Cassandra Brandow
109,CA-2019-119004,11/23/2019,JM-15250,Consumer,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,3.304,1,0.2,1.0738,Cassandra Brandow
110,CA-2017-129476,10/15/2017,PA-19060,Home Office,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,339.96,5,0.2,67.992,Kelly Williams
111,CA-2019-146780,12/25/2019,CV-12805,Corporate,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,41.96,2,0,10.9096,Chuck Magee
112,CA-2018-128867,11/3/2018,CL-12565,Consumer,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,75.96,2,0,22.788,Kelly Williams
113,CA-2018-128867,11/3/2018,CL-12565,Consumer,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,27.24,6,0,13.3476,Kelly Williams
114,CA-2016-115259,8/25/2016,RC-19960,Consumer,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,40.096,14,0.2,14.5348,Chuck Magee
115,CA-2016-115259,8/25/2016,RC-19960,Consumer,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,4.72,2,0.2,1.652,Chuck Magee
116,CA-2016-115259,8/25/2016,RC-19960,Consumer,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,23.976,3,0.2,7.4925,Chuck Magee
117,CA-2016-115259,8/25/2016,RC-19960,Consumer,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,130.464,6,0.2,44.0316,Chuck Magee
118,CA-2017-110457,3/2/2017,DK-13090,Consumer,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,787.53,3,0,165.3813,Anna Andreadi
119,US-2017-136476,4/5/2017,GG-14650,Corporate,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,157.794,1,0.7,-115.7156,Cassandra Brandow
120,CA-2018-103730,6/12/2018,SC-20725,Consumer,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,47.04,3,0,18.3456,Chuck Magee
121,CA-2018-103730,6/12/2018,SC-20725,Consumer,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,30.84,4,0,13.878,Chuck Magee
122,CA-2018-103730,6/12/2018,SC-20725,Consumer,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,226.56,6,0,63.4368,Chuck Magee
123,CA-2018-103730,6/12/2018,SC-20725,Consumer,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,115.02,9,0,51.759,Chuck Magee
124,CA-2018-103730,6/12/2018,SC-20725,Consumer,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,68.04,7,0,19.7316,Chuck Magee
125,US-2016-152030,12/26/2016,AD-10180,Home Office,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,600.558,3,0.3,-8.5794,Kelly Williams
126,US-2016-134614,9/20/2016,PF-19165,Consumer,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,617.7,6,0.5,-407.682,Kelly Williams
127,US-2019-107272,11/5/2019,TS-21610,Consumer,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,2.388,2,0.7,-1.8308,Anna Andreadi
128,US-2019-107272,11/5/2019,TS-21610,Consumer,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,243.992,7,0.2,30.499,Anna Andreadi
129,US-2018-125969,11/6/2018,LS-16975,Home Office,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,81.424,2,0.2,-9.1602,Anna Andreadi
130,US-2018-125969,11/6/2018,LS-16975,Home Office,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,238.56,3,0,26.2416,Anna Andreadi
131,US-2019-164147,2/2/2019,DW-13585,Corporate,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,59.97,5,0.4,-11.994,Chuck Magee
132,US-2019-164147,2/2/2019,DW-13585,Corporate,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,78.304,2,0.2,29.364,Chuck Magee
133,US-2019-164147,2/2/2019,DW-13585,Corporate,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,21.456,9,0.2,6.9732,Chuck Magee
134,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,20.04,3,0,9.6192,Anna Andreadi
135,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,35.44,1,0,16.6568,Anna Andreadi
136,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,11.52,4,0,3.456,Anna Andreadi
137,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,4.02,2,0,1.9698,Anna Andreadi
138,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-BI-10004781,Office Supplies,Binders,76.176,3,0.2,26.6616,Anna Andreadi
139,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,OFF-SU-10001218,Office Supplies,Supplies,65.88,6,0,18.4464,Anna Andreadi
140,CA-2018-145583,10/13/2018,LC-16885,Consumer,Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,43.12,14,0,20.6976,Anna Andreadi
141,CA-2018-110366,9/5/2018,JD-15895,Corporate,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,82.8,2,0.2,10.35,Chuck Magee
142,CA-2019-106180,9/18/2019,SH-19975,Corporate,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,8.82,3,0,2.3814,Anna Andreadi
143,CA-2019-106180,9/18/2019,SH-19975,Corporate,San Francisco,California,94122,West,OFF-EN-10004030,Office Supplies,Envelopes,10.86,3,0,5.1042,Anna Andreadi
144,CA-2019-106180,9/18/2019,SH-19975,Corporate,San Francisco,California,94122,West,OFF-PA-10004327,Office Supplies,Paper,143.7,3,0,68.976,Anna Andreadi
145,CA-2019-155376,12/22/2019,SG-20080,Consumer,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,839.43,3,0,218.2518,Kelly Williams
146,CA-2017-110744,9/7/2017,HA-14920,Consumer,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,671.93,7,0,20.1579,Anna Andreadi
147,CA-2016-110072,10/22/2016,MG-17680,Home Office,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,93.888,4,0.2,12.9096,Chuck Magee
148,CA-2018-114489,12/5/2018,JE-16165,Corporate,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,384.45,11,0,103.8015,Kelly Williams
149,CA-2018-114489,12/5/2018,JE-16165,Corporate,Franklin,Wisconsin,53132,Central,TEC-PH-10001448,Technology,Phones,149.97,3,0,5.9988,Kelly Williams
150,CA-2018-114489,12/5/2018,JE-16165,Corporate,Franklin,Wisconsin,53132,Central,FUR-CH-10000454,Furniture,Chairs,1951.84,8,0,585.552,Kelly Williams
151,CA-2018-114489,12/5/2018,JE-16165,Corporate,Franklin,Wisconsin,53132,Central,OFF-BI-10002735,Office Supplies,Binders,171.55,5,0,80.6285,Kelly Williams
152,CA-2018-158834,3/13/2018,TW-21025,Home Office,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,157.92,5,0.2,17.766,Anna Andreadi
153,CA-2018-158834,3/13/2018,TW-21025,Home Office,Scottsdale,Arizona,85254,West,TEC-PH-10001254,Technology,Phones,203.184,2,0.2,15.2388,Anna Andreadi
154,CA-2017-124919,5/31/2017,SP-20650,Corporate,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,58.38,7,0,26.271,Anna Andreadi
155,CA-2017-124919,5/31/2017,SP-20650,Corporate,San Jose,California,95123,West,OFF-PA-10002254,Office Supplies,Paper,105.52,4,0,48.5392,Anna Andreadi
156,CA-2017-124919,5/31/2017,SP-20650,Corporate,San Jose,California,95123,West,OFF-ST-10001590,Office Supplies,Storage,80.88,6,0,21.0288,Anna Andreadi
157,CA-2017-118948,5/28/2017,NK-18490,Home Office,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,6.63,3,0,1.7901,Anna Andreadi
